-> ulimit -n 100000
-> go run -exec sudo ./cmd/utrace -executable /home/matt/github/utrace/tracee/tracee |tee log.txt

could not attach uprobe to symbol runtime.etext: creating perf_uprobe PMU: symbol 'runtime.etext' not found: file does not exist
runtime.(*mheap).setSpans 1 460867170837288 12093114345224
runtime.publicationBarrier.abi0 1 460867170837288 12093114347898
runtime.unlock2 1 460867170837288 12093114370524
runtime.cpuinit 1 460867170837288 12093114378553
runtime.findnull 1 460867170837288 12093114381730
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093114385027
indexbytebody 1 460867170837288 12093114389620
runtime.memequal 1 460867170837288 12093114393901
memeqbody 1 460867170837288 12093114398471
runtime.findnull 1 460867170837288 12093114403207
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093114405361
indexbytebody 1 460867170837288 12093114407745
runtime.memequal 1 460867170837288 12093114410213
memeqbody 1 460867170837288 12093114412532
runtime.findnull 1 460867170837288 12093114414784
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093114417432
indexbytebody 1 460867170837288 12093114419957
runtime.memequal 1 460867170837288 12093114422193
memeqbody 1 460867170837288 12093114424432
runtime.findnull 1 460867170837288 12093114427210
internal/bytealg.IndexByteString.abi0 1 460867170837288 12093114429614
indexbytebody 1 460867170837288 12093114432001
runtime.memequal 1 460867170837288 12093114434653
memeqbody 1 460867170837288 12093114437216
runtime.findnull 1 460867170837288 12093114439891
